"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JPress1";"Screw_Termianl_01x03";1;"Pressure sensor";;;
2;"JTemp1";"Screw_Termianl_01x03";1;"Temperature sensor";;;
3;"U1";"CR2013-MI2120_touch";1;"CR2013-MI2120-touch";;;
4;"U2";"ESP32-DevKitC";1;"ESP32-DevKitC";;;
5;"H4,H3,H2,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
6;"C3,C2,C1";"CP_Radial_Tantal_D8.0mm_P5.00mm";3;"470uF";;;
7;"U3";"LLC_4CH";1;"LLC_4CH";;;
8;"JHC_VALVES1";"Screw_Termianl_01x06";1;"01x06";;;
9;"JD_VALVE1";"Screw_Termianl_01x03";1;"01x03";;;
10;"U_3.3V1,U_5V1";"SD_BUCK3A";2;"SD_BUCK3A";;;
11;"J_12V1";"Barrel_Jack";1;"Barrel_Jack";;;
12;"R1,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"4.7k";;;
13;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"3.3k";;;
14;"U4";"MCP4728_module";1;"MCP4728";;;
